,username,name,tweet
0,realsmithj,Jason Smith,@BrockWHarrison @RachelNotley Remember that time when the government crippled the access of public education to the kids that needed it most during one of the most intense periods of the pandemic. Through a social media post no less! That was fun…  https://t.co/pS31Ef7nQH
1,theabcsofmissv,Taylor Vollstedt,TOGETHER WE CAN become Masters of Education through a global pandemic!  https://t.co/zJyfgNRzjn
2,mcola34,mia,@MikeCarlton01 Wow.We are doing well on the global stage. Rating high for pandemic spread. Yet low on education ranking. Insulting France. Ignoring Solomon’s islands. Inflaming China. Pandering to USA’s interests before our own.Having a poor or insignificant climate change plan .. #auspol
3,ric4100,Ric Paul,"Thank God Florida had @GovRonDeSantis as the Governor during the pandemic. A report on education of our children during Covid, shows that Florida &amp; Texas poor &amp; middle class children DID NOT LOSE ANY GROUND ON EDUCATION because they STAYED OPEN. The worst states were locked down  https://t.co/bEa83Q7lIP"
4,janicekayephd,Janice Kaye🇨🇦 Ph.D.🇺🇸 Vax💉💉💉Mask😷 🇺🇦 🟩,"Needs an education in how the virus is spread.  Has he heard that his Conservative government already killed 4,000 Ontario seniors in the pandemic?"
5,wetm18news,WETM-TV,"Since the pandemic, New York's health care systems have worked around the clock to fight Covid, but according to the Healthcare Education Project, New York's top 10 insurers has turned the crisis into profits. A new piece of legislation could change that.   https://t.co/b85rsDMnJ1"
6,alexmercieca,"Mr. Mercieca, M.Ed, CCFT",Probably my best yearbook picture to date. I had many students who asked me to sign my picture in their yearbooks. #Teacher #education #edutwitter #historyteacher #pandemic #hcs #myHCS  https://t.co/SDuMAgi9ux
7,stewart32244570,Stewart Clark,@jkwan_md I'm very grateful for the uplifting spirit and education you have brought to the whole pandemic experience. My people should talk with your people...🤣🤣🤣
8,dyslexicadv,Dyslexic Advantage,Homeschooling during the pandemic is still a powerful option for students if financially viable. Here's why ⬇  https://t.co/nplHspFlDL #dyslexia #dyslexicadvantage #neurodiversity #homeschool #covid #pandemiceducation #dyslexicstudents
9,mra_titleix,MRA TitleIX,The study that didn't mention men were 78% of lost enrollment even though they were 40% of students?  The report that entirely ignored the crisis men face in education? Pre pandemic and how it made it significantly worse. Contact me if you are more than hollow words.
10,32bjseiu,32BJ SEIU /// #UnionStrong 💪💪🏻💪🏽💪🏿,We stand with @NYCMayor Eric Adams in support or mayoral control of @NYCSchools. Our childrens’ education should be our top priority. Having stable leadership at the helm is imperative for a swift post pandemic recovery.  https://t.co/SMmgPTHbzK
11,tachyondecay,Kara Babcock,"Hey everyone, remember when I wrote that neat article about adult education during the pandemic? Well I got to talk about it for a short podcast episode! 👇"
12,sunitadalal11,Sunita Dalal,@zeerajasthan_ @RajGovOfficial @DrBDKallaINC @Lalitverma510 @Rajasthan government @rajasthan education department @zee news Private schools with air condition facilities should continue to keep schools open as already due to pandemic students have lost so much of life at school and learning.
13,kusoehs,KU School of Education & Human Sciences,"“I'm capable of accomplishing hard things! With dedication, hard work, and a lot of grace I was able to complete my degree while teaching full time in a world wide pandemic. It feels good to say that I'm proud of myself.” — Carrie Karns ❤️ 💙  #exploreKU #KUgrads #rockchalk  https://t.co/D20XEDHb7u"
14,chalkbeatco,Chalkbeat Colorado,"As pandemic wanes, Denver looks to make up missed special education services  https://t.co/I0mZHSMBT7  https://t.co/2ksi2ULAl3"
15,yglvoices,Young Global Leaders,"This week, 40 #YGLs are taking part in an Executive Education module @CambridgeJBS. Through a 5 day experiential learning experience, they’ll look at what it means to be a global leader in a post-pandemic world 🌍. Stay tuned ✨  https://t.co/dMyOlzFE71"
16,educationnc,EducationNC,"North Carolina is not ""within reach"" of universal pre-K, according to a report that captured the pandemic's toll on pre-K in 2021. #nced  https://t.co/ev6VxYxUVd"
17,vippusao,TomthunkitsMind,EDUCATION COSTS SOAR WHILE SCHOOLS TRY TO MAKE UP FOR THE PANDEMIC LOSSES 03  https://t.co/hl25FtL5dC
18,bcteachersplan,BCTeachersPension,"During the pandemic, BC teachers have put their energy and thoughts into ensuring students continue to receive the best education. We’re happy to remind teachers that pensions are one thing they don’t need to think about – the valuation results are in:  https://t.co/uTV2zEUmLJ  https://t.co/50zhZ4mBQ7"
19,brookingsed,Brookings Brown Center,Both the Great Recession and the #COVID19 pandemic led to historic investments in public education. How effective have these funds been in achieving their ambitious policy goals?  https://t.co/s9om89BuOm
20,edanouli,Edana,"@cv_cev @SalBrinton @mrjamesob Problem is the law states that parents are responsible for their children's education, which must be either full time in school or 'otherwise'. So if a child's not in school and not deregistered either, the law is not in the parent's favour. Shouldn't apply in a pandemic though!"
21,equityneducati1,Equity 'n' Education,It took a pandemic to figure out how to support teachers better!  https://t.co/nQA7eZ0hhC
22,aaprpsouthwest,AAPRP Southwest US,"We’re back out at the Pan-African Community Garden for opening day this Sunday May 15th starting at 5PM. Please join us if you’re in Tiwa territory for food, building, planting, political education and more.  Please wear a mask, it’s still in pandemic.  https://t.co/zHGkYcQheP"
23,rounakthadani,Rounak Thadani,@Priv_Optimist I’m going through the same rn man. Pandemic really screwed me over and it’s so hard compared to pre pandemic. Plus the pressure of me having to apply to universities visiting them. Plus I’m scared that my level of education here isn’t going to be enough to cope up in London😢
24,samharveyrural,Samantha Harvey,So pleased to be invited to observe Y6 #sats2022 procedure today @DaneRoydSchool The  headteacher &amp; staff have done a great job in administrating the tests after 2 years of absence caused by the pandemic. #LevellingUp starts from education attainment &amp; improved #SocialMobility  https://t.co/qLZ3AfgU2y
25,leuchtman,Stephen Leuchtman 🇺🇦,"@ksusys @engele @StuShoes18 Using my education in economics, I can and will make the argument that Trump's trade war, particularly since it disrupted supply chains and taxed intermediate goods, coupled with the pandemic is sufficient explanation for the inflation. The stimulative stuff (PPP and ARP) were"
26,educationblog,Education News,"#EDUCATION: Exclusive #Data: Freshmen, Held Back During #Pandemic, Fuel ‘Bulge’ in 9th Grade Enrollment  #HighSchool #Students    https://t.co/sev6hplnWo"
27,edweekopinion,Education Week Opinion,"The disruption born of this once-in-a-century pandemic could yield a once-in-a-century opportunity to rethink K-12 schooling, writes @rickhess99. #EWOpinion #RHSU @AEIeducation  https://t.co/90WyQc3Qe4"
28,kixlac,KIX LAC Hub América Latina y el Caribe,"⭐Save the date and REGISTER NOW 👉🏼  https://t.co/izxCyGPZr9 ⭐ We are waiting for you next May 31 and June 01 at the 2nd @KixLac Conference ""Education in Post-Pandemic. How has the teaching work been affected?"".  ✅ Free online event. ✅ Translation in Spanish, English &amp; French.  https://t.co/7pcaYmMkuL"
29,thirteenwnet,THIRTEEN,How do you think virtual learning might play a part in students' education after the pandemic? #AmericanCitiesRebuilding  https://t.co/uYZOn1giCZ
30,msuvets,MSU Veterinary Medicine,"The MSU veterinary and veterinary nursing graduates, having completed their education amid a pandemic that reminded the world of the critical intersection of human and animal health, bring an undeniably valuable perspective to the game. #SpartanGrad22  https://t.co/xWgGEApJj6  https://t.co/PLpjboTYRE"
31,swarr22,Steven Warr,"Children are having psychological issues and are far behind in their education, especially in math during covid. This is all caused by teachers who refused to be in school during the pandemic. This was on Fox's Greg Gutfeld show. What do you think?"
32,abettermn,A Better Minnesota,@BirkMatt @deanbphillips You know what isn’t going to help students catch back up from the pandemic? You and all your conservative friends massively underfunding education &amp; shortchanging students and teachers. #mngov
